ID_LOC	MEAS_DATE	MEAS_TIME	SITE	SITE_PLOT	PAI_DEVICE_LAB	PAI_DEVICE_TYPE	PAI_MEAS_TYPE	ID_MEAS	PAI	GAP1	GAP2	GAP3	GAP4	GAP5	BAD_READINGS
PSL_4_MEAS1	20210609	21:08:46	PSL	4	CESBIO	LICOR_LAI2000	BELOW	1	2.85799	0.0328571	0.12	0.163934	0.0986842	0.0653846	NA
PSL_4_MEAS3	20210609	21:09:06	PSL	4	CESBIO	LICOR_LAI2000	BELOW	3	2.55222	0.157143	0.143182	0.169492	0.117568	0.0843137	NA
PSL_4_MEAS5	20210609	21:10:29	PSL	4	CESBIO	LICOR_LAI2000	BELOW	5	1.95767	0.461538	0.178049	0.290909	0.220588	0.108696	NA
PSL_4_MEAS15	20210609	21:11:00	PSL	4	CESBIO	LICOR_LAI2000	BELOW	15	2.83353	0.441667	0.135	0.126415	0.0818182	0.05	NA
PSL_4_MEAS25	20210609	21:11:20	PSL	4	CESBIO	LICOR_LAI2000	BELOW	25	2.07461	0.583333	0.461538	0.167308	0.125	0.111628	NA
PSL_4_MEAS23	20210609	21:11:36	PSL	4	CESBIO	LICOR_LAI2000	BELOW	23	0.832593	0.916667	0.769231	0.615385	0.46875	0.255814	NA
PSL_4_MEAS21	20210609	21:11:55	PSL	4	CESBIO	LICOR_LAI2000	BELOW	21	3.14446	0.065	0.0736842	0.117647	0.0709677	0.0642857	NA
PSL_4_MEAS11	20210609	21:12:21	PSL	4	CESBIO	LICOR_LAI2000	BELOW	11	3.65158	0.065	0.0486486	0.06	0.0583333	0.0390244	NA
PSL_4_MEAS9	20210609	21:12:44	PSL	4	CESBIO	LICOR_LAI2000	BELOW	9	3.3253	0.08	0.0864865	0.062	0.06	0.0707317	NA
PSL_4_MEAS7	20210609	21:13:11	PSL	4	CESBIO	LICOR_LAI2000	BELOW	7	3.81097	0.0363636	0.0416667	0.0583333	0.0474576	0.04	NA
PSL_4_MEAS17	20210609	21:13:31	PSL	4	CESBIO	LICOR_LAI2000	BELOW	17	0.552721	0.890909	0.942857	0.893617	0.596491	0.289474	NA
PSL_4_MEAS19	20210609	21:14:16	PSL	4	CESBIO	LICOR_LAI2000	BELOW	19	2.78744	0.181818	0.141176	0.106667	0.0872727	0.0864865	NA
PSL_4_MEAS13	20210609	21:14:34	PSL	4	CESBIO	LICOR_LAI2000	BELOW	13	2.451	0.08	0.084375	0.193182	0.183019	0.119444	NA
PSL_4_MEAS1	20210719	21:50:51	PSL	4	CEFE	LICOR_LAI2200	BELOW	1	3.68026	0.0647699	0.0739964	0.0665904	0.0467473	0.0278506	NA
PSL_4_MEAS3	20210719	21:51:14	PSL	4	CEFE	LICOR_LAI2200	BELOW	3	3.36025	0.171611	0.0782313	0.0839747	0.0563409	0.0396226	NA
PSL_4_MEAS5	20210719	21:51:38	PSL	4	CEFE	LICOR_LAI2200	BELOW	5	2.95394	0.234608	0.0866971	0.132877	0.105694	0.0383206	NA
PSL_4_MEAS15	20210719	21:52:07	PSL	4	CEFE	LICOR_LAI2200	BELOW	15	3.45545	0.131111	0.107898	0.109768	0.0460208	0.0206387	NA
PSL_4_MEAS25	20210719	21:52:24	PSL	4	CEFE	LICOR_LAI2200	BELOW	25	2.77079	0.326952	0.222884	0.117209	0.0968027	0.0380613	NA
PSL_4_MEAS23	20210719	21:52:43	PSL	4	CEFE	LICOR_LAI2200	BELOW	23	1.92737	0.454779	0.356432	0.252393	0.190648	0.0926014	NA
PSL_4_MEAS21	20210719	21:53:06	PSL	4	CEFE	LICOR_LAI2200	BELOW	21	3.21487	0.205534	0.103293	0.0603824	0.0888109	0.0409751	NA
PSL_4_MEAS11	20210719	21:54:34	PSL	4	CEFE	LICOR_LAI2200	BELOW	11	3.53492	0.0616386	0.0430371	0.0797688	0.0758895	0.0344994	NA
PSL_4_MEAS9	20210719	21:54:57	PSL	4	CEFE	LICOR_LAI2200	BELOW	9	2.8169	0.362234	0.176589	0.0976199	0.0602884	0.0927472	NA
PSL_4_MEAS7	20210719	21:55:27	PSL	4	CEFE	LICOR_LAI2200	BELOW	7	4.3265	0.0482855	0.0270049	0.050674	0.0281898	0.0175965	NA
PSL_4_MEAS17	20210719	21:55:46	PSL	4	CEFE	LICOR_LAI2200	BELOW	17	1.99908	0.424881	0.389946	0.316156	0.171581	0.0571093	NA
PSL_4_MEAS19	20210719	21:56:12	PSL	4	CEFE	LICOR_LAI2200	BELOW	19	3.96876	0.0839616	0.0518909	0.0479246	0.0280155	0.0351466	NA
PSL_4_MEAS13	20210719	21:56:45	PSL	4	CEFE	LICOR_LAI2200	BELOW	13	3.64041	0.0559941	0.0319345	0.0808524	0.06875	0.0351466	NA
