ID_LOC	SAMPLING_DATE	SAMPLING_TIME	SITE	SITE_PLOT	SPECIES	TREE	TREE_LEAF	TREE_LEAF_AGE	LEAFTRAIT_LAB	CHL_PROSPECT	CAR_PROSPECT	ANT_PROSPECT	EWT_PROSPECT	EWT_LAB	LMA_PROSPECT	LMA_LAB	PROT_PROSPECT	CBC_PROSPECT
PUE_CP1_QI_0290	20210402	09:55:00	PUE	CP1	QI	290	L1	Y	TETIS	53.9	17.1	4.972143601	NA	NA	0.0228	0.0189	0.00172	0.01808
PUE_CP1_QI_0290	20210402	09:55:00	PUE	CP1	QI	290	L2	Y	TETIS	69.7	17.8	6.555000948	NA	NA	0.0282	0.0233	0.00331	0.02385
PUE_CP1_QI_0290	20210402	09:55:00	PUE	CP1	QI	290	L3	Y	TETIS	69.7	16.7	5.244748178	NA	NA	0.0232	0.0191	0	0.02242
PUE_CP1_QI_0290	20210402	09:55:00	PUE	CP1	QI	290	L4	O	TETIS	54.4	18.5	4.091952262	NA	NA	0.022	0.0179	0.00166	0.0192
PUE_CP1_QI_0452	20210402	10:05:00	PUE	CP1	QI	452	L1	Y	TETIS	58.7	14.6	4.994750891	NA	NA	0.0172	0.0149	0.0002	0.01725
PUE_CP1_QI_0452	20210402	10:05:00	PUE	CP1	QI	452	L2	Y	TETIS	33.7	16.3	5.158944645	NA	NA	0.0243	0.0195	0	0.02555
PUE_CP1_QI_0452	20210402	10:05:00	PUE	CP1	QI	452	L3	Y	TETIS	61.1	17.8	4.962402887	NA	NA	0.0235	0.019	0.00037	0.02529
PUE_CP1_QI_0452	20210402	10:05:00	PUE	CP1	QI	452	L4	O	TETIS	97.5	18.3	0.773426384	NA	NA	0.0227	0.0174	0.00178	0.02245
PUE_CP1_QI_0618	20210402	10:15:00	PUE	CP1	QI	618	L1	Y	TETIS	45.3	11.6	3.329377934	NA	NA	0.0145	0.013	0.00115	0.01358
PUE_CP1_QI_0618	20210402	10:15:00	PUE	CP1	QI	618	L2	Y	TETIS	58.8	13.4	3.824307882	NA	NA	0.0175	0.0159	0.00195	0.01449
PUE_CP1_QI_0618	20210402	10:15:00	PUE	CP1	QI	618	L3	Y	TETIS	50.8	12.8	3.252190377	NA	NA	0.0159	0.0146	0.00194	0.0132
PUE_CP1_QI_0618	20210402	10:15:00	PUE	CP1	QI	618	L4	Y	TETIS	48.6	11.2	2.742534457	NA	NA	0.013	0.0124	0.00144	0.01093
PUE_CP1_QI_0076	20210402	10:25:00	PUE	CP1	QI	76	L1	NA	TETIS	93	16.5	3.21425262	NA	NA	0.0275	0.0235	0.00071	0.02366
PUE_CP1_QI_0076	20210402	10:25:00	PUE	CP1	QI	76	L2	NA	TETIS	74	17.9	3.768572287	NA	NA	0.0301	0.0248	0	0.0281
PUE_CP1_QI_0076	20210402	10:25:00	PUE	CP1	QI	76	L3	NA	TETIS	62.2	13.5	3.741687631	NA	NA	0.0261	0.0237	0.00384	0.02301
PUE_CP1_QI_0076	20210402	10:25:00	PUE	CP1	QI	76	L4	NA	TETIS	48.8	12.2	3.544928174	NA	NA	0.0233	0.0217	0.00169	0.02104
PUE_CP2_QI_1113	20210402	08:50:00	PUE	CP2	QI	1113	L1	Y	TETIS	78.5	15.7	2.991186377	NA	NA	0.0188	0.0163	0.00161	0.01527
PUE_CP2_QI_1113	20210402	08:50:00	PUE	CP2	QI	1113	L2	Y	TETIS	89.7	17.4	3.651947351	NA	NA	0.0213	0.0185	0	0.02046
PUE_CP2_QI_1113	20210402	08:50:00	PUE	CP2	QI	1113	L3	O	TETIS	103	21.1	6.468770601	NA	NA	0.0244	0.0202	0.00247	0.02127
PUE_CP2_QI_1113	20210402	08:50:00	PUE	CP2	QI	1113	L4	O	TETIS	78.8	16.7	5.901583337	NA	NA	0.0229	0.0197	0.00053	0.01989
PUE_CP2_QI_1151	20210402	09:00:00	PUE	CP2	QI	1151	L1	Y	TETIS	74.3	15.1	8.854293345	NA	NA	0.0241	0.0213	0	0.02347
PUE_CP2_QI_1151	20210402	09:00:00	PUE	CP2	QI	1151	L2	Y	TETIS	72.6	18.2	4.964148282	NA	NA	0.0278	0.0238	0	0.02391
