ID_LOC	MEAS_DATE	MEAS_TIME	MOISTURE_DEVICE_LAB	MOISTURE_DEVICE_TYPE	SITE	SITE_PLOT	ID_MEAS	Repetition	Depth	Volumetric soil moisture	Soil temperature	EC	SHA/SUN
20210608_PSL_22_MEAS1	20210608	10:50:00	ONERA	IMKOHD2_TDR	PSL	22	1	1	4	4,21	23,1	0,82	SHA
20210608_PSL_22_MEAS1	20210608	10:50:00	ONERA	IMKOHD2_TDR	PSL	22	1	2	4	5,76	23,2	0,45	SHA
20210608_PSL_22_MEAS1	20210608	10:50:00	ONERA	IMKOHD2_TDR	PSL	22	1	3	4	6,54	23,1	0,48	SHA
20210608_PSL_22_MEAS1	20210608	10:50:00	ONERA	IMKOHD2_TDR	PSL	22	1	4	3	5,2	23,1	0,25	SHA
20210608_PSL_22_MEAS2	20210608	10:57:00	ONERA	IMKOHD2_TDR	PSL	22	2	1	3	4,66	23,1	0,55	SHA
20210608_PSL_22_MEAS2	20210608	10:57:00	ONERA	IMKOHD2_TDR	PSL	22	2	2	3	5,42	23,1	0,11	SHA
20210608_PSL_22_MEAS2	20210608	10:57:00	ONERA	IMKOHD2_TDR	PSL	22	2	3	3	5	23,1	0	SHA
20210608_PSL_10_MEAS1	20210608	11:40:00	ONERA	IMKOHD2_TDR	PSL	10	1	1	4	1,18	24,7	0,54	SHA
20210608_PSL_10_MEAS1	20210608	11:40:00	ONERA	IMKOHD2_TDR	PSL	10	1	2	4	3,88	24,9	0,04	SHA
20210608_PSL_10_MEAS1	20210608	11:40:00	ONERA	IMKOHD2_TDR	PSL	10	1	3	6	9,93	24,9	0,17	SHA
20210608_PSL_10_MEAS1	20210608	11:40:00	ONERA	IMKOHD2_TDR	PSL	10	1	4	4	4,65	25	0	SHA
20210608_PSL_10_MEAS2	20210608	12:00:00	ONERA	IMKOHD2_TDR	PSL	10	2	1	7	5	27,1	0,43	SHA
20210608_PSL_10_MEAS2	20210608	12:00:00	ONERA	IMKOHD2_TDR	PSL	10	2	2	7	3,93	27,1	0,34	SHA
20210608_PSL_10_MEAS2	20210608	12:00:00	ONERA	IMKOHD2_TDR	PSL	10	2	3	7	8,27	27,1	0,44	SHA
20210608_PSL_10_MEAS2	20210608	12:00:00	ONERA	IMKOHD2_TDR	PSL	10	2	4	7	7,57	17,3	0,99	SHA
